ref,value
C201,0.1uF
C202,0.01uF
C203,0.01u
C204,0.01u
C205,0.1u
C206,0.1u
C207,100uF
C301,10uF
C302,10uF
C303,0.1uF
C304,0.1uF
C305,4.7uF
C306,820pF
C307,33pF
C308,22uF
C309,0.1uF
C401,47uF
C402,47uF
C403,22uF
C404,0.1uF
C405,0.1uF
C406,2.2uF
C407,22uF
C408,0.1uF
C409,0.1uF
D201,SMCJ40A
D202,SCHOTTKY
D203,SMCJ40A
D204,BLUE_LED
D301,BLUE_LED
D401,BLUE_LED
D402,BLUE_LED
J101,VIN
J102,12V_1
J103,12V_2
J104,5V_1
J105,5V_2
J106,5V_3
J107,5V_4
J108,3_3V_1
J109,3_3V_2
J110,3_3V_3
J111,3_3V_4
L301,10uH
L401,1.5uH
L402,1uH
R201,100k
R202,10k
R203,1.82M
R204,243k
R205,59k
R206,560
R302,100k
R303,35.7k
R304,40.2k
R305,90.9k
R306,1M
R307,10k
R308,430
R309,0
R401,91
R402,100k
R404,0
R405,73.2k
R406,0
R407,10k
R408,10k
R409,45.3k
R410,100k
U201,SI4946
U202,LTC4365
U301,LTC3115-1
U401,LTC3633A-1
